央视频道,#genre#
CCTV1,http://113.120.108.132:4000/rtp/239.21.1.120:5002$山东电信_result_ip
CCTV1,http://117.64.244.75:6688/rtp/238.1.78.166:7200$安徽电信_result_ip
CCTV2,http://113.120.108.132:4000/rtp/239.21.1.151:5002$山东电信_result_ip
CCTV2,http://117.64.244.75:6688/rtp/238.1.78.235:7752$安徽电信_result_ip
CCTV3,http://113.120.108.132:4000/rtp/239.21.2.45:5002$山东电信_result_ip
CCTV3,http://117.64.244.75:6688/rtp/238.1.78.170:7232$安徽电信_result_ip
CCTV4,http://113.120.108.132:4000/rtp/239.21.1.154:5002$山东电信_result_ip
CCTV4,http://117.64.244.75:6688/rtp/238.1.78.236:7760$安徽电信_result_ip
CCTV4欧洲,http://113.120.108.132:4000/rtp/239.21.2.28:5002$山东电信_result_ip
CCTV5,http://113.120.108.132:4000/rtp/239.21.2.46:5002$山东电信_result_ip
CCTV5,http://117.64.244.75:6688/rtp/238.1.78.171:7240$安徽电信_result_ip
CCTV5+,http://113.120.108.132:4000/rtp/239.21.1.142:5002$山东电信_result_ip
CCTV5+,http://117.64.244.75:6688/rtp/238.1.78.237:7768$安徽电信_result_ip
CCTV6,http://113.120.108.132:4000/rtp/239.21.2.47:5002$山东电信_result_ip
CCTV6,http://117.64.244.75:6688/rtp/238.1.78.172:7248$安徽电信_result_ip
CCTV7,http://113.120.108.132:4000/rtp/239.21.1.152:5002$山东电信_result_ip
CCTV7,http://117.64.244.75:6688/rtp/238.1.78.239:7784$安徽电信_result_ip
CCTV8,http://113.120.108.132:4000/rtp/239.21.2.48:5002$山东电信_result_ip
CCTV8,http://117.64.244.75:6688/rtp/238.1.78.173:7256$安徽电信_result_ip
CCTV9,http://113.120.108.132:4000/rtp/239.21.1.153:5002$山东电信_result_ip
CCTV9,http://117.64.244.75:6688/rtp/238.1.78.240:7792$安徽电信_result_ip
CCTV10,http://113.120.108.132:4000/rtp/239.21.1.155:5002$山东电信_result_ip
CCTV10,http://117.64.244.75:6688/rtp/238.1.78.241:7800$安徽电信_result_ip
CCTV11,http://113.120.108.132:4000/rtp/239.21.2.2:5002$山东电信_result_ip
CCTV11,http://117.64.244.75:6688/rtp/238.1.78.206:7502$安徽电信_result_ip
CCTV12,http://113.120.108.132:4000/rtp/239.21.1.156:5002$山东电信_result_ip
CCTV12,http://117.64.244.75:6688/rtp/238.1.78.242:7808$安徽电信_result_ip
CCTV13,http://113.120.108.132:4000/rtp/239.21.2.3:5002$山东电信_result_ip
CCTV13,http://117.64.244.75:6688/rtp/238.1.79.35:4392$安徽电信_result_ip
CCTV14,http://113.120.108.132:4000/rtp/239.21.1.157:5002$山东电信_result_ip
CCTV14,http://117.64.244.75:6688/rtp/238.1.78.243:7816$安徽电信_result_ip
CCTV15,http://113.120.108.132:4000/rtp/239.21.2.4:5002$山东电信_result_ip
CCTV15,http://117.64.244.75:6688/rtp/238.1.78.222:7648$安徽电信_result_ip
CCTV17,http://113.120.108.132:4000/rtp/239.21.1.186:5002$山东电信_result_ip
CCTV17,http://117.64.244.75:6688/rtp/238.1.78.178:7296$安徽电信_result_ip
CCTV4K,http://117.64.244.75:6688/rtp/238.1.78.137:6968$安徽电信_result_ip
兵器科技,http://117.64.244.75:6688/rtp/238.1.79.56:4584$安徽电信_result_ip
兵器科技,http://113.25.105.43:10000/rtp/239.1.1.97:8097$山西电信
风云音乐,http://117.64.244.75:6688/rtp/238.1.79.64:4648$安徽电信_result_ip
风云音乐,http://113.25.105.43:10000/rtp/239.1.1.96:8096$山西电信
风云足球,http://117.64.244.75:6688/rtp/238.1.79.57:4592$安徽电信_result_ip
风云足球,http://113.25.105.43:10000/rtp/239.1.1.101:8101$山西电信
风云剧场,http://117.64.244.75:6688/rtp/238.1.79.62:4632$安徽电信_result_ip
风云剧场,http://113.25.105.43:10000/rtp/239.1.1.93:8093$山西电信
怀旧剧场,http://117.64.244.75:6688/rtp/238.1.79.61:4624$安徽电信_result_ip
怀旧剧场,http://113.25.105.43:10000/rtp/239.1.1.95:8095$山西电信
第一剧场,http://117.64.244.75:6688/rtp/238.1.79.63:4640$安徽电信_result_ip
第一剧场,http://113.25.105.43:10000/rtp/239.1.1.94:8094$山西电信
女性时尚,http://117.64.244.75:6688/rtp/238.1.79.55:4576$安徽电信_result_ip
女性时尚,http://113.25.105.43:10000/rtp/239.1.1.89:8089$山西电信
世界地理,http://117.64.244.75:6688/rtp/238.1.79.60:4616$安徽电信_result_ip
世界地理,http://113.25.105.43:10000/rtp/239.1.1.99:8099$山西电信
央视台球,http://117.64.244.75:6688/rtp/238.1.79.59:4608$安徽电信_result_ip
央视台球,http://113.25.105.43:10000/rtp/239.1.1.100:8100$山西电信
高尔夫网球,http://117.64.244.75:6688/rtp/238.1.79.58:4600$安徽电信_result_ip
高尔夫网球,http://113.25.105.43:10000/rtp/239.1.1.102:8102$山西电信
央视文化精品,http://117.64.244.75:6688/rtp/238.1.79.54:4568$安徽电信_result_ip
央视文化精品,http://113.25.105.43:10000/rtp/239.1.1.91:8091$山西电信
电视指南,http://117.64.244.75:6688/rtp/238.1.79.53:4560$安徽电信_result_ip
电视指南,http://113.25.105.43:10000/rtp/239.1.1.90:8090$山西电信

卫视频道,#genre#
湖南卫视,http://113.120.108.132:4000/rtp/239.21.1.158:5002$山东电信_result_ip
湖南卫视,http://117.64.244.75:6688/rtp/238.1.78.160:7152$安徽电信_result_ip
浙江卫视,http://113.120.108.132:4000/rtp/239.21.1.90:5002$山东电信_result_ip
浙江卫视,http://117.64.244.75:6688/rtp/238.1.78.164:7184$安徽电信_result_ip
江苏卫视,http://113.120.108.132:4000/rtp/239.21.1.89:5002$山东电信_result_ip
江苏卫视,http://117.64.244.75:6688/rtp/238.1.78.165:7192$安徽电信_result_ip
东方卫视,http://113.120.108.132:4000/rtp/239.21.1.111:5002$山东电信_result_ip
东方卫视,http://117.64.244.75:6688/rtp/238.1.78.163:7176$安徽电信_result_ip
深圳卫视,http://113.120.108.132:4000/rtp/239.21.1.93:5002$山东电信_result_ip
深圳卫视,http://117.64.244.75:6688/rtp/238.1.78.156:7120$安徽电信_result_ip
北京卫视,http://113.120.108.132:4000/rtp/239.21.1.88:5002$山东电信_result_ip
北京卫视,http://117.64.244.75:6688/rtp/238.1.78.162:7168$安徽电信_result_ip
广东卫视,http://113.120.108.132:4000/rtp/239.21.1.92:5002$山东电信_result_ip
广东卫视,http://117.64.244.75:6688/rtp/238.1.78.161:7160$安徽电信_result_ip
广西卫视,http://117.64.244.75:6688/rtp/238.1.78.70:6432$安徽电信_result_ip
东南卫视,http://113.120.108.132:4000/rtp/239.21.1.113:5002$山东电信_result_ip
东南卫视,http://117.64.244.75:6688/rtp/238.1.78.22:6104$安徽电信_result_ip
