更新时间,#genre#
2026-02-15 06:35:39,url
央视频道,#genre#:
CCTV1,http://117.65.19.72:6688/udp/238.1.78.166:7200
CCTV2,http://117.65.19.72:6688/udp/238.1.78.235:7752
CCTV3,http://114.103.132.190:4022/udp/238.1.78.170:7232
CCTV3,http://117.65.19.72:6688/udp/238.1.78.170:7232
CCTV4,http://114.103.132.190:4022/udp/238.1.78.236:7760
CCTV4,http://117.65.19.72:6688/udp/238.1.78.236:7760
CCTV5,http://117.65.19.72:6688/udp/238.1.78.171:7240
CCTV5+,http://117.65.19.72:6688/udp/238.1.78.237:7768
CCTV6,http://114.103.132.190:4022/udp/238.1.78.172:7248
CCTV6,http://117.65.19.72:6688/udp/238.1.78.172:7248
CCTV7,http://117.65.19.72:6688/udp/238.1.78.239:7784
CCTV8,http://114.103.132.190:4022/udp/238.1.78.173:7256
CCTV8,http://117.65.19.72:6688/udp/238.1.78.173:7256
CCTV9,http://117.65.19.72:6688/udp/238.1.78.240:7792
CCTV10,http://117.65.19.72:6688/udp/238.1.78.241:7800
CCTV11,http://117.65.19.72:6688/udp/238.1.78.206:7502
CCTV12,http://117.65.19.72:6688/udp/238.1.78.242:7808
CCTV13,http://117.65.19.72:6688/udp/238.1.79.35:4392
CCTV14,http://117.65.19.72:6688/udp/238.1.78.243:7816
CCTV15,http://117.65.19.72:6688/udp/238.1.78.222:7648
CCTV17,http://117.65.19.72:6688/udp/238.1.78.178:7296

卫视频道,#genre#:
三沙卫视,http://117.65.19.72:6688/udp/238.1.78.27:6144
东南卫视,http://117.65.19.72:6688/udp/238.1.78.22:6104
东南卫视,http://117.65.19.72:6688/udp/238.1.78.62:6368$标清
东方卫视,http://117.65.19.72:6688/udp/238.1.78.163:7176
云南卫视,http://117.65.19.72:6688/udp/238.1.78.89:6584$标清
兵团卫视,http://117.65.19.72:6688/udp/238.1.78.104:6704
内蒙古卫视,http://117.65.19.72:6688/udp/238.1.78.103:6696
北京卫视,http://117.65.19.72:6688/udp/238.1.78.162:7168
北京卫视,http://117.65.19.72:6688/udp/238.1.78.63:6376$标清
厦门卫视,http://117.65.19.72:6688/udp/238.1.78.246:7840
吉林卫视,http://117.65.19.72:6688/udp/238.1.79.48:4496
吉林卫视,http://117.65.19.72:6688/udp/238.1.78.93:6616$标清
四川卫视,http://117.65.19.72:6688/udp/238.1.78.30:6168
四川卫视,http://117.65.19.72:6688/udp/238.1.78.71:6440$标清
天津卫视,http://117.65.19.72:6688/udp/238.1.78.20:6088
天津卫视,http://117.65.19.72:6688/udp/238.1.78.91:6600$标清
宁夏卫视,http://117.65.19.72:6688/udp/238.1.78.109:6744
安徽卫视,http://117.65.19.72:6688/udp/238.1.78.150:7072
安徽卫视,http://117.65.19.72:6688/udp/238.1.79.27:4328
山东卫视,http://117.65.19.72:6688/udp/238.1.78.169:7224
山东卫视,http://117.65.19.72:6688/udp/238.1.78.66:6400$标清
山西卫视,http://117.65.19.72:6688/udp/238.1.78.95:6632$标清
新疆卫视,http://117.65.19.72:6688/udp/238.1.78.110:6752
江苏卫视,http://117.65.19.72:6688/udp/238.1.78.64:6384$标清
江苏卫视,http://117.65.19.72:6688/udp/238.1.78.165:7192
河北卫视,http://117.65.19.72:6688/udp/238.1.78.245:7832
河北卫视,http://117.65.19.72:6688/udp/238.1.78.87:6568$标清
河南卫视,http://117.65.19.72:6688/udp/238.1.79.65:4632
河南卫视,http://117.65.19.72:6688/udp/238.1.78.69:6424$标清
浙江卫视,http://117.65.19.72:6688/udp/238.1.78.164:7184
浙江卫视,http://117.65.19.72:6688/udp/238.1.78.65:6392$标清
海南卫视,http://117.65.19.72:6688/udp/238.1.79.49:4504
湖北卫视,http://117.65.19.72:6688/udp/238.1.78.168:7216
湖北卫视,http://117.65.19.72:6688/udp/238.1.78.94:6624$标清
湖南卫视,http://117.65.19.72:6688/udp/238.1.78.160:7152
湖南卫视,http://117.65.19.72:6688/udp/238.1.78.67:6408$标清
甘肃卫视,http://117.65.19.72:6688/udp/238.1.79.36:4400
甘肃卫视,http://117.65.19.72:6688/udp/238.1.78.108:6736$标清
西藏卫视,http://117.65.19.72:6688/udp/238.1.78.101:6680
贵州卫视,http://117.65.19.72:6688/udp/238.1.78.90:6592$标清
贵州卫视,http://117.65.19.72:6688/udp/238.1.78.244:7824
辽宁卫视,http://117.65.19.72:6688/udp/238.1.78.92:6608$标清
陕西卫视,http://117.65.19.72:6688/udp/238.1.78.88:6576$标清
青海卫视,http://117.65.19.72:6688/udp/238.1.78.102:6688

安徽频道,#genre#:
临泉新闻频道,http://117.65.19.72:6688/udp/238.1.78.29:6160
义安新闻综合,http://117.65.19.72:6688/udp/238.1.78.211:7560
休宁新闻综合,http://117.65.19.72:6688/udp/238.1.79.20:4272
六安综合频道,http://117.65.19.72:6688/udp/238.1.78.144:7024
合肥新闻频道,http://117.65.19.72:6688/udp/238.1.78.111:6760
安庆新闻综合,http://117.65.19.72:6688/udp/238.1.78.117:6808
安庆经济生活,http://117.65.19.72:6688/udp/238.1.78.118:6816
安徽公共频道,http://117.65.19.72:6688/udp/238.1.79.43:4456
安徽农业科教,http://117.65.19.72:6688/udp/238.1.79.40:4432
安徽国际频道,http://117.65.19.72:6688/udp/238.1.78.61:6360
安徽影视频道,http://117.65.19.72:6688/udp/238.1.79.42:4448
安徽经济生活,http://117.65.19.72:6688/udp/238.1.79.44:4464
宣城文旅生活,http://117.65.19.72:6688/udp/238.1.78.143:7016
宣城综合频道,http://117.65.19.72:6688/udp/238.1.78.142:7008
寿县新闻综合,http://117.65.19.72:6688/udp/238.1.78.146:7040
徽州新闻频道,http://117.65.19.72:6688/udp/238.1.78.138:6976
无为新闻频道,http://117.65.19.72:6688/udp/238.1.78.188:7376
歙县综合频道,http://117.65.19.72:6688/udp/238.1.78.200:7472
泗县新闻频道,http://117.65.19.72:6688/udp/238.1.78.193:7416
涡阳新闻综合,http://117.65.19.72:6688/udp/238.1.78.197:7448
淮北新闻综合,http://117.65.19.72:6688/udp/238.1.78.135:6952
淮北经济生活,http://117.65.19.72:6688/udp/238.1.78.136:6960
淮南新闻综合,http://117.65.19.72:6688/udp/238.1.78.113:6776
淮南民生频道,http://117.65.19.72:6688/udp/238.1.78.114:6784
滁州新闻综合,http://117.65.19.72:6688/udp/238.1.78.132:6928
滁州科教频道,http://117.65.19.72:6688/udp/238.1.78.134:6944
繁昌新闻综合,http://117.65.19.72:6688/udp/238.1.78.190:7392
蒙城新闻频道,http://117.65.19.72:6688/udp/238.1.79.19:4264
蚌埠新闻综合,http://117.65.19.72:6688/udp/238.1.78.180:7312
蚌埠生活频道,http://117.65.19.72:6688/udp/238.1.78.181:7320
阜阳教育频道,http://117.65.19.72:6688/udp/238.1.78.126:6880
阜阳生活频道,http://117.65.19.72:6688/udp/238.1.78.125:6872
阜阳都市文艺,http://117.65.19.72:6688/udp/238.1.78.127:6888
黄山区融媒,http://117.65.19.72:6688/udp/238.1.78.199:7464
黄山新闻综合,http://117.65.19.72:6688/udp/238.1.78.130:6912

其他频道,#genre#:
CETV1,http://117.65.19.72:6688/udp/238.1.78.158:7136
CETV1,http://117.65.19.72:6688/udp/238.1.78.105:6712
CETV2,http://117.65.19.72:6688/udp/238.1.78.106:6720
CETV4,http://117.65.19.72:6688/udp/238.1.78.253:7896
IPTV 魅力时尚,http://117.65.19.72:6688/udp/238.1.78.7:7960
IPTV收视指南,http://117.65.19.72:6688/udp/238.1.78.8:7968
IPTV热播剧场,http://114.103.132.190:4022/udp/238.1.78.9:7976
IPTV热播剧场,http://117.65.19.72:6688/udp/238.1.78.9:7976
IPTV相声小品,http://117.65.19.72:6688/udp/238.1.78.3:7928
IPTV经典电影,http://117.65.19.72:6688/udp/238.1.78.10:7984
IPTV谍战剧场,http://117.65.19.72:6688/udp/238.1.78.2:7920
IPTV野外,http://117.65.19.72:6688/udp/238.1.78.4:7936
动作影院,http://117.65.19.72:6688/udp/238.1.78.13:4008
央视台球,http://117.65.19.72:6688/udp/238.1.79.59:4608
女性时尚,http://117.65.19.72:6688/udp/238.1.79.55:4576
家庭影院,http://114.103.132.190:4022/udp/238.1.78.14:4016
家庭影院,http://117.65.19.72:6688/udp/238.1.78.14:4016
山东教育频道,http://117.65.19.72:6688/udp/238.1.78.254:7904
怀旧剧场,http://117.65.19.72:6688/udp/238.1.79.61:4624
文化精品,http://117.65.19.72:6688/udp/238.1.79.54:4568
湖南快乐垂钓,http://114.103.132.190:4022/udp/238.1.79.31:4360
电视指南,http://117.65.19.72:6688/udp/238.1.79.53:4560
音乐现场,http://114.103.132.190:4022/udp/238.1.78.15:4024
音乐现场,http://117.65.19.72:6688/udp/238.1.78.15:4024
高尔夫网球,http://117.65.19.72:6688/udp/238.1.79.58:4600


404: Not Found
