# 湖北电信 IP速度测试结果 - 有效IP 13/13
# 测试时间: 2026-02-20 01:56:26
# IP:端口 速度 连接时间(ms)
171.83.96.76:8008 95.8KB/s (ping:246ms)
171.83.96.76:8006 95.5KB/s (ping:214ms)
171.83.96.76:8004 94.9KB/s (ping:233ms)
171.83.103.119:9999 92.4KB/s (ping:212ms)
27.24.91.122:60001 91.7KB/s (ping:237ms)
219.139.231.239:10001 89.6KB/s (ping:210ms)
171.83.96.76:8010 87.3KB/s (ping:218ms)
221.232.40.13:8888 86.5KB/s (ping:249ms)
171.83.96.76:8003 85.4KB/s (ping:211ms)
27.17.212.40:8888 83.4KB/s (ping:236ms)
221.232.40.17:8888 50.6KB/s (ping:234ms)
221.232.41.40:8888 49.4KB/s (ping:221ms)
221.232.41.214:8888 25.4KB/s (ping:234ms)
